Niveles	Modelo_Lambert	Modelo_Albani	Modelo_Takemura	Modelo_MIROC-ESM	Modelo_MRI_CGCM3
1	0	0	0	0	0
2	0,129709090909103	0,022672727272777	0,244799999999998	0,276436363636378	0,078881818181799
3	0,282127272727337	0,05650909090906	0,483209090909043	0,580899999999986	0,157618181818179
4	0,459918181818182	0,10300909090904	0,73395454545448	0,911018181818235	0,237354545454593
5	0,666036363636351	0,161463636363578	1,00641818181811	1,27860000000004	0,318100000000015
6	0,910409090909127	0,233018181818125	1,28898181818181	1,65383636363634	0,402554545454564
7	1,20588181818181	0,318581818181826	1,58920909090904	1,9849272727273	0,49969090909093
8	1,54533636363641	0,419663636363623	1,93410909090909	2,58205454545447	0,588363636363624
9	1,93736363636367	0,546345454545474	2,27238181818177	3,11027272727279	0,68035454545452
10	2,39573636363633	0,685854545454561	2,56551818181811	3,61691818181822	0,775772727272738

