Niveles	Modelo_Lambert	Modelo_Albani	Modelo_Takemura	Modelo_MIROC-ESM	Modelo_MRI_CGCM3
1	0	0	0	0	0
2	0.250300000000038	0.172572727272723	0.004618181818103	-0.011518181818133	-0.012990909090888
3	0.542209090909068	0.368145454545413	0.011018181818145	-0.015436363636411	-0.025263636363604
4	0.877090909090896	0.604490909090885	0.016718181818135	-0.018381818181751	-0.039281818181792
5	1.28533636363636	0.869681818181789	0.02287272727267	-0.037972727272745	-0.049445454545435
6	1.73711818181818	1.17396363636362	0.027345454545412	-0.038372727272702	-0.0620545454546
7	2.32281818181821	1.54479090909086	0.031918181818185	-0.041936363636296	-0.077427272727277
8	2.7443909090909	1.99404545454541	0.038863636363601	-0.043609090909058	-0.084054545454535
9	3.66228181818184	2.51588181818181	0.045363636363561	-0.050081818181752	-0.096127272727244
10	4.57041818181824	3.05503636363642	0.049209090909073	-0.056836363636364	-0.104318181818201

