Niveles	Modelo_Lambert	Modelo_Albani	Modelo_Takemura	Modelo_MIROC-ESM	Modelo_MRI_CGCM3
1	0	0	0	0	0
2	0.257536363636348	0.647109090909169	0.10824545454534	0.441590909090962	0.25303636363634
3	0.54663636363631	1.32080909090911	0.231018181818115	0.931509090909174	0.520709090909122
4	0.878236363636347	2.0065909090909	0.344863636363584	1.48347272727273	0.786109090909065
5	1.28314545454538	2.73920909090913	0.463309090909092	1.97560909090913	1.05738181818185
6	1.75219090909087	3.59844545454541	0.587636363636307	2.6325818181819	1.3317090909091
7	2.33246363636363	4.29540909090906	0.717454545454473	3.48487272727277	1.60969090909094
8	2.89675454545454	5.13915454545452	0.852945454545363	4.24160909090904	1.86649090909088
9	4.02718181818182	5.87127272727275	0.995190909090923	4.86489999999998	2.17520909090905
10	5.09549090909093	6.96175454545454	1.14397272727274	5.53309090909096	2.5079090909091

